i,t,c,sys,stage,value
Anhui,2022,maize,summer,sowing,67.3082870967742
Anhui,2022,rice,single,growing,71.97935947712419
Anhui,2022,rice,single,harvesting,69.84673548387096
Anhui,2022,rice,single,sowing,66.39407
Anhui,2022,soybean,single,growing,74.69756304347825
Anhui,2022,soybean,single,harvesting,69.1698049180328
Anhui,2022,soybean,single,sowing,67.3082870967742
Anhui,2022,wheat,winter,growing,69.6435433962264
Anhui,2022,wheat,winter,harvesting,71.35252999999999
Anhui,2022,wheat,winter,sowing,77.76524426229508
Beijing,1997,maize,spring,growing,60.441795652173916
Beijing,1997,maize,spring,harvesting,73.22754838709677
Beijing,1997,maize,spring,sowing,46.952383606557376
Beijing,1997,maize,summer,growing,67.06607717391304
Beijing,1997,maize,summer,harvesting,58.28788360655738
Beijing,1997,maize,summer,sowing,53.56839032258065
Beijing,1997,rice,single,growing,64.47110065359477
Beijing,1997,rice,single,harvesting,49.10263548387097
Beijing,1997,rice,single,sowing,46.94190666666667
Beijing,1997,soybean,single,growing,67.06607717391304
Beijing,1997,soybean,single,harvesting,58.28788360655738
Beijing,1997,soybean,single,sowing,53.56839032258065
Beijing,1998,maize,spring,growing,70.10482717391305
Beijing,1998,maize,spring,harvesting,75.06320967741935
Beijing,1998,maize,spring,sowing,58.89433114754098
Beijing,1998,maize,summer,growing,74.93758152173913
Beijing,1998,maize,summer,harvesting,67.7185131147541
Beijing,1998,maize,summer,sowing,60.72084193548387
Beijing,1998,rice,single,growing,71.47881633986928
Beijing,1998,rice,single,harvesting,63.58625806451613
Beijing,1998,rice,single,sowing,66.89028333333333
Beijing,1998,soybean,single,growing,74.93758152173913
Beijing,1998,soybean,single,harvesting,67.7185131147541
Beijing,1998,soybean,single,sowing,60.72084193548387
Beijing,1998,wheat,winter,growing,52.25195943396226
Beijing,1998,wheat,winter,harvesting,70.57983666666668
Beijing,1998,wheat,winter,sowing,58.28788360655738
Beijing,1999,maize,spring,growing,62.840525
Beijing,1999,maize,spring,harvesting,73.3991
Beijing,1999,maize,spring,sowing,56.65759016393442
Beijing,1999,maize,summer,growing,67.41303260869564
Beijing,1999,maize,summer,harvesting,62.99806557377049
Beijing,1999,maize,summer,sowing,59.82907741935484
Beijing,1999,rice,single,growing,66.44683202614378
Beijing,1999,rice,single,harvesting,55.910229032258066
Beijing,1999,rice,single,sowing,55.626083333333334
Beijing,1999,soybean,single,growing,67.41303260869564
Beijing,1999,soybean,single,harvesting,62.99806557377049
Beijing,1999,soybean,single,sowing,59.82907741935484
Beijing,1999,wheat,winter,growing,50.97372877358491
Beijing,1999,wheat,winter,harvesting,60.01248999999999
Beijing,1999,wheat,winter,sowing,67.7185131147541
Beijing,2000,maize,spring,growing,57.31770543478261
Beijing,2000,maize,spring,harvesting,76.03434516129032
Beijing,2000,maize,spring,sowing,38.54783114754098
Beijing,2000,maize,summer,growing,64.26803913043479
Beijing,2000,maize,summer,harvesting,65.00361639344263
Beijing,2000,maize,summer,sowing,55.407548387096774
Beijing,2000,rice,single,growing,63.02637843137256
Beijing,2000,rice,single,harvesting,62.983170967741934
Beijing,2000,rice,single,sowing,40.50226
Beijing,2000,soybean,single,growing,64.26803913043479
Beijing,2000,soybean,single,harvesting,65.00361639344263
Beijing,2000,soybean,single,sowing,55.407548387096774
Beijing,2000,wheat,winter,growing,47.35717028301887
Beijing,2000,wheat,winter,harvesting,54.390703333333335
Beijing,2000,wheat,winter,sowing,62.99806557377049
Beijing,2001,maize,spring,growing,58.86497173913044
Beijing,2001,maize,spring,harvesting,72.84352903225806
Beijing,2001,maize,spring,sowing,38.80848196721311
Beijing,2001,maize,summer,growing,69.1706695652174
Beijing,2001,maize,summer,harvesting,67.96139672131147
Beijing,2001,maize,summer,sowing,42.25887741935484
Beijing,2001,rice,single,growing,62.864676470588236
Beijing,2001,rice,single,harvesting,71.00246774193549
Beijing,2001,rice,single,sowing,45.782000000000004
Beijing,2001,soybean,single,growing,69.1706695652174
Beijing,2001,soybean,single,harvesting,67.96139672131147
Beijing,2001,soybean,single,sowing,42.25887741935484
Beijing,2001,wheat,winter,growing,47.49333474178403
Beijing,2001,wheat,winter,harvesting,63.73552333333334
Beijing,2001,wheat,winter,sowing,65.00361639344263
Beijing,2002,maize,spring,growing,59.775341304347826
Beijing,2002,maize,spring,harvesting,73.90684193548387
Beijing,2002,maize,spring,sowing,40.17540327868852
Beijing,2002,maize,summer,growing,68.96154347826088
Beijing,2002,maize,summer,harvesting,60.01697213114754
Beijing,2002,maize,summer,sowing,46.64456451612904
Beijing,2002,rice,single,growing,63.73874313725491
Beijing,2002,rice,single,harvesting,54.82100322580645
Beijing,2002,rice,single,sowing,44.30169333333333
Beijing,2002,soybean,single,growing,68.96154347826088
Beijing,2002,soybean,single,harvesting,60.01697213114754
Beijing,2002,soybean,single,sowing,46.64456451612904
Beijing,2002,wheat,winter,growing,43.34332075471698
Beijing,2002,wheat,winter,harvesting,63.48758
Beijing,2002,wheat,winter,sowing,67.96139672131147
Beijing,2003,maize,spring,growing,64.854975
Beijing,2003,maize,spring,harvesting,67.49430322580645
Beijing,2003,maize,spring,sowing,53.36558524590164
Beijing,2003,maize,summer,growing,66.16641847826087
Beijing,2003,maize,summer,harvesting,67.73088360655737
Beijing,2003,maize,summer,sowing,63.602277419354834
Beijing,2003,rice,single,growing,67.22154183006536
Beijing,2003,rice,single,harvesting,61.47319677419355
Beijing,2003,rice,single,sowing,50.98334333333333
Beijing,2003,soybean,single,growing,66.16641847826087
Beijing,2003,soybean,single,harvesting,67.73088360655737
Beijing,2003,soybean,single,sowing,63.602277419354834
Beijing,2003,wheat,winter,growing,53.752636792452826
Beijing,2003,wheat,winter,harvesting,59.34450666666667
Beijing,2003,wheat,winter,sowing,60.01697213114754
Beijing,2004,maize,spring,growing,58.2603097826087
Beijing,2004,maize,spring,harvesting,70.67246774193549
Beijing,2004,maize,spring,sowing,37.343304918032786
Beijing,2004,maize,summer,growing,66.52540760869564
Beijing,2004,maize,summer,harvesting,61.224929508196716
Beijing,2004,maize,summer,sowing,46.14379032258064
Beijing,2004,rice,single,growing,62.149373202614385
Beijing,2004,rice,single,harvesting,57.31166451612903
Beijing,2004,rice,single,sowing,40.28397666666667
Beijing,2004,soybean,single,growing,66.52540760869564
Beijing,2004,soybean,single,harvesting,61.224929508196716
Beijing,2004,soybean,single,sowing,46.14379032258064
Beijing,2004,wheat,winter,growing,43.09248867924528
Beijing,2004,wheat,winter,harvesting,56.26555666666666
Beijing,2004,wheat,winter,sowing,67.73088360655737
Beijing,2005,maize,spring,growing,60.02312499999999
Beijing,2005,maize,spring,harvesting,74.81440967741936
Beijing,2005,maize,spring,sowing,33.73605737704918
Beijing,2005,maize,summer,growing,68.02192282608695
Beijing,2005,maize,summer,harvesting,57.439990163934425
Beijing,2005,maize,summer,sowing,51.076041935483865
Beijing,2005,rice,single,growing,63.62563464052288
Beijing,2005,rice,single,harvesting,51.95133870967742
Beijing,2005,rice,single,sowing,35.42801
Beijing,2005,soybean,single,growing,68.02192282608695
Beijing,2005,soybean,single,harvesting,57.439990163934425
Beijing,2005,soybean,single,sowing,51.076041935483865
Beijing,2005,wheat,winter,growing,44.90557183098591
Beijing,2005,wheat,winter,harvesting,62.44088333333333
Beijing,2005,wheat,winter,sowing,61.224929508196716
Beijing,2006,maize,spring,growing,61.37401739130435
Beijing,2006,maize,spring,harvesting,73.78945161290322
Beijing,2006,maize,spring,sowing,33.80015901639344
Beijing,2006,maize,summer,growing,68.53285000000001
Beijing,2006,maize,summer,harvesting,61.813852459016395
Beijing,2006,maize,summer,sowing,52.54388387096774
Beijing,2006,rice,single,growing,63.786013071895425
Beijing,2006,rice,single,harvesting,62.750567741935484
Beijing,2006,rice,single,sowing,38.67645666666667
Beijing,2006,soybean,single,growing,68.53285000000001
Beijing,2006,soybean,single,harvesting,61.813852459016395
Beijing,2006,soybean,single,sowing,52.54388387096774
Beijing,2006,wheat,winter,growing,41.74316509433962
Beijing,2006,wheat,winter,harvesting,57.169653333333336
Beijing,2006,wheat,winter,sowing,57.439990163934425
Beijing,2007,maize,spring,growing,57.44721086956522
Beijing,2007,maize,spring,harvesting,70.05938387096775
Beijing,2007,maize,spring,sowing,49.95056557377049
Beijing,2007,maize,summer,growing,67.13878369565218
Beijing,2007,maize,summer,harvesting,65.51263442622951
