i,t,c,sys,stage,value
Guangxi,2001,soybean,single,growing,-1.53319526641552
Guangxi,2001,soybean,single,harvesting,-0.030071500348526348
Guangxi,2001,soybean,single,sowing,-0.8914696999862044
Guangxi,2002,maize,spring,growing,-1.4177214253654833
Guangxi,2002,maize,spring,harvesting,-2.2723055542650457
Guangxi,2002,maize,spring,sowing,0.5809874208834438
Guangxi,2002,rice,early_double,growing,-0.949226766666265
Guangxi,2002,rice,early_double,harvesting,-1.403646120771384
Guangxi,2002,rice,early_double,sowing,0.5809874208834438
Guangxi,2002,rice,late_double,growing,-1.1271858555488707
Guangxi,2002,rice,late_double,harvesting,-1.0026658355834297
Guangxi,2002,rice,late_double,sowing,-1.403646120771384
Guangxi,2002,rice,single,growing,-1.5834129411508884
Guangxi,2002,rice,single,harvesting,-1.5859311603465973
Guangxi,2002,rice,single,sowing,0.5019807299804888
Guangxi,2002,soybean,single,growing,-1.5633733653884276
Guangxi,2002,soybean,single,harvesting,-1.135657143901018
Guangxi,2002,soybean,single,sowing,-0.949226766666265
Guangxi,2003,maize,spring,growing,0.3077348259703335
Guangxi,2003,maize,spring,harvesting,0.06915057652622511
Guangxi,2003,maize,spring,sowing,0.472827444562002
Guangxi,2003,rice,early_double,growing,-0.3606370924461071
Guangxi,2003,rice,early_double,harvesting,-0.750660389341823
Guangxi,2003,rice,early_double,sowing,0.472827444562002
Guangxi,2003,rice,late_double,growing,0.7406513439557065
Guangxi,2003,rice,late_double,harvesting,1.2103828973573743
Guangxi,2003,rice,late_double,sowing,-0.750660389341823
Guangxi,2003,rice,single,growing,0.3018257223439428
Guangxi,2003,rice,single,harvesting,0.6714249720145145
Guangxi,2003,rice,single,sowing,-0.009812494105617409
Guangxi,2003,soybean,single,growing,0.40113793300814915
Guangxi,2003,soybean,single,harvesting,0.3988026785024643
Guangxi,2003,soybean,single,sowing,-0.3606370924461071
Guangxi,2004,maize,spring,growing,-0.4541589537755756
Guangxi,2004,maize,spring,harvesting,1.0841906189929689
Guangxi,2004,maize,spring,sowing,0.8088224868381062
Guangxi,2004,rice,early_double,growing,0.7707857403150993
Guangxi,2004,rice,early_double,harvesting,2.915900666372992
Guangxi,2004,rice,early_double,sowing,0.8088224868381062
