i,r,t,scenario,drought,heat,compound
Fujian,soybean,2012,historical,0.4430551779163981,-0.4440440505649825,-0.4431535573389078
Fujian,wheat,2012,historical,-0.4310001719898483,-0.514615194797473,-0.5363710411170975
Gansu,maize,2012,historical,-0.3069339668501744,-0.4432028350245817,-0.669798101973897
Gansu,rice,2012,historical,0.56527545265888,-0.2782082468800937,-0.4367464417315059
Gansu,soybean,2012,historical,-0.4090889696053723,-0.4177468750313462,-0.5899180374196913
Gansu,wheat,2012,historical,-1.0007377241134074,-0.2803289314104343,-0.3805982245125734
Guangdong,maize,2012,historical,0.2397641085546233,-0.2612813015868559,-0.745043983173202
Guangdong,rice,2012,historical,-0.168210482625831,-0.621390960644272,-0.5348822348902306
Guangdong,soybean,2012,historical,0.8183650726261726,-0.4626964057076915,-0.4324783668615355
Guangxi,maize,2012,historical,0.2891940515877523,0.4338910216318143,-0.3996051690567432
Guangxi,rice,2012,historical,-0.2188740636144402,-0.1477598289974771,-0.3932702611974654
Guangxi,soybean,2012,historical,0.1275375771231494,-0.0238228119234119,-0.4991304297075982
Guizhou,maize,2012,historical,-0.2900692013583684,-0.4140424547120542,-0.4303248552635648
Guizhou,rice,2012,historical,-0.3002924822874415,-0.3246236441948623,-0.4395453119008512
Guizhou,soybean,2012,historical,-1.1996875896688162,-0.629673155447554,-0.2881191967743496
Guizhou,wheat,2012,historical,-0.5724643986420713,-0.2465910728858286,-0.0891904706436463
Hainan,maize,2012,historical,-0.760521787398924,-0.8986501941804829,-0.7621976778183583
Hainan,rice,2012,historical,-0.6270668008619382,-1.0446771319906398,-0.2047143557605003
Hainan,soybean,2012,historical,-0.0109797334145745,-1.2218047764939646,-0.0508268213105266
Hebei,maize,2012,historical,-0.6357227523903626,-0.4776875643701206,-0.1106251547380495
Hebei,rice,2012,historical,-0.2088996809426888,-0.3101651251019778,-0.2197715220525551
Hebei,soybean,2012,historical,-0.1441252543002834,-0.3129703180671263,-0.0224895925037516
Hebei,wheat,2012,historical,-0.6455058682098421,-0.3239265497019324,-0.4215747745657802
Heilongjiang,maize,2012,historical,-0.2302445208011659,-0.0976536737887515,-0.0753122070190907
Heilongjiang,rice,2012,historical,-0.8577310758371842,-0.1626325680867904,-0.2371698875603981
Heilongjiang,soybean,2012,historical,-0.6105089061809089,-0.3031633884567721,-0.113173636324471
Heilongjiang,wheat,2012,historical,-0.1751830540280066,-0.0976536737887515,-0.0753122070190907
Henan,maize,2012,historical,1.0109289309061362,-0.3481005791514772,-0.040253145929626
Henan,rice,2012,historical,1.2941957717696109,-0.3476904551903035,-0.2047450375465878
Henan,soybean,2012,historical,1.475912121528019,-0.4822833690259749,-0.2800067233549827
Henan,wheat,2012,historical,0.2942170641266609,-0.1862600959397999,-0.1240628319768156
Hubei,maize,2012,historical,-0.3037119958451233,-0.2319949000008777,-0.4182232178179652
Hubei,rice,2012,historical,0.1698995145133827,-0.3631057990681728,-0.7623080647295085
Hubei,soybean,2012,historical,-0.8945970332324983,-0.4237899735657208,-0.4654330433088809
Hubei,wheat,2012,historical,-0.0072719979027104,-0.2832094071858748,-0.2175178130647656
Hunan,maize,2012,historical,1.40065159746628,1.1623487003927455,-0.2394443139740418
Hunan,rice,2012,historical,0.2751273467236227,0.1058284675494944,-0.403758717430889
Hunan,soybean,2012,historical,-0.7303057960517436,-0.4218791771279222,-0.6203325513565554
Hunan,wheat,2012,historical,0.5845022951427349,0.3658764484490944,-0.612193669169001
Inner_Mongolia,maize,2012,historical,-0.4587428103073456,-0.5111799173409215,-0.5243141657665139
Inner_Mongolia,rice,2012,historical,-0.6736593112626804,-0.4495218594529813,-0.5965833490130469
Inner_Mongolia,soybean,2012,historical,-1.206152198151462,-0.4803351135828343,-0.7504810855045702
Inner_Mongolia,wheat,2012,historical,-0.1698263670175204,-0.4702510952991847,-0.4828707481058703
Jiangsu,maize,2012,historical,0.573485076948058,-0.4563177882534771,0.1032928390494806
Jiangsu,rice,2012,historical,0.9065084820110296,-0.3803697231337983,-0.1133391636729993
Jiangsu,soybean,2012,historical,0.8272983329521258,-0.5741912262363595,0.1319141384606385
Jiangsu,wheat,2012,historical,0.9853164628641852,-0.55632158634807,-0.1728108242758575
Jiangxi,maize,2012,historical,-0.9455593375656444,-0.2774980224612618,0.0074039513944628
Jiangxi,rice,2012,historical,-0.7447850037056664,-0.4379102973786952,-0.0769642121406098
Jiangxi,soybean,2012,historical,-0.4088398952708446,-0.391290910424744,-0.2472957311913953
Jiangxi,wheat,2012,historical,-0.8825850060220276,-0.3214776769120789,-0.1598977522702936
Jilin,maize,2012,historical,-0.5778817386428853,-0.5426466382539827,-0.2463292230270423
Jilin,rice,2012,historical,-1.310688001060015,-0.4177263195204296,-0.2636560435266916
Jilin,soybean,2012,historical,-0.972015386274753,-0.472785246157454,-0.128191030878188
Jilin,wheat,2012,historical,-0.4785187391699061,-0.5426466382539827,-0.2463292230270423
Liaoning,maize,2012,historical,-1.948987479825304,-0.5288570806125606,-0.4454916047061143
Liaoning,rice,2012,historical,-1.9153410235874964,-0.339958673057521,-0.2896811260797859
Liaoning,soybean,2012,historical,-0.2932985449298728,-0.4311235287806378,-0.2229940627575201
Liaoning,wheat,2012,historical,-1.922433727538928,-0.5288570806125606,-0.4454916047061143
Ningxia,maize,2012,historical,-0.0762988490619756,-0.5436464573404755,-0.0827315067673244
Ningxia,rice,2012,historical,0.439674117888944,-0.3999933142569902,-0.2609036884822538
Ningxia,soybean,2012,historical,-0.7549101228761992,-0.5367888013189112,-0.2179509789676555
Ningxia,wheat,2012,historical,-1.552649536339685,-0.3677989513177246,-0.4593298576267711
Qinghai,maize,2012,historical,-1.386714081699069,0.0,0.0
Qinghai,soybean,2012,historical,-0.7999969785966732,-0.0942979896064075,-0.0943564195120496
Qinghai,wheat,2012,historical,-1.4161909480271693,0.0,0.0
Shaanxi,maize,2012,historical,-0.2839618031188984,-0.5149884239340964,-0.6897086795153456
Shaanxi,rice,2012,historical,0.9245668673491332,-0.2476058694962167,-0.4633735739653251
Shaanxi,soybean,2012,historical,-0.6196753295645121,-0.5583320330192968,-0.7857747831773708
Shaanxi,wheat,2012,historical,-0.9815833867833668,-0.4181846009950982,-0.661106286610607
Shandong,maize,2012,historical,0.0364293051111182,-0.4256567438065588,-0.0743780940448076
Shandong,rice,2012,historical,-0.1550264328392817,-0.324485748983528,-0.1487452299219445
Shandong,soybean,2012,historical,0.6453934859730716,-0.4387668401545923,-0.1183562452243808
Shandong,wheat,2012,historical,0.1566876040479723,-0.3451494940383106,0.1383348469295372
Shanghai,maize,2012,historical,-0.2673259833189738,-0.236374948783128,-0.1441009372495298
Shanghai,rice,2012,historical,0.944929600081822,-0.3461326439645225,-0.3715923268694671
Shanghai,soybean,2012,historical,0.7941896739621862,-0.3706495518188742,-0.3315364586311185
Shanghai,wheat,2012,historical,0.3817119790705217,-0.5549643275027144,-0.0703644630610208
Shanxi,maize,2012,historical,0.047108331550093,-0.7268852387643131,-0.6728697421952484
Shanxi,rice,2012,historical,0.020229003027584,-0.5699689605183509,-0.5373999046092112
Shanxi,soybean,2012,historical,0.3381024744491464,-0.654517036807984,-0.6853853955746462
Shanxi,wheat,2012,historical,-0.8449699365509131,-0.5344163589033754,-0.6961588947858356
Sichuan,maize,2012,historical,-0.0913506640944356,-0.2018797201153427,0.1053851845024472
Sichuan,rice,2012,historical,0.1923603884167326,-0.1131469778102054,0.0931192167648975
Sichuan,soybean,2012,historical,0.020438673208625,-0.199801480348921,0.0343675903002167
Sichuan,wheat,2012,historical,0.2440069192533361,1.4918178502918509,1.394071208568775
Tianjin,maize,2012,historical,-1.1342159601257535,-0.4014462118124613,-0.8560321238449263
