i,c,t,production_10k_tons
Xinjiang,wheat,2005,396.23
Yunnan,maize,2005,449.31
Yunnan,rice,2005,646.34
Yunnan,soybean,2005,77.18
Yunnan,wheat,2005,106.86
Zhejiang,maize,2005,25.93
Zhejiang,rice,2005,644.78
Zhejiang,soybean,2005,47.4
Zhejiang,wheat,2005,21.81
Anhui,maize,2006,267.7
Anhui,rice,2006,1333.06
Anhui,soybean,2006,135.0
Anhui,wheat,2006,1039.0
Beijing,maize,2006,72.91
Beijing,rice,2006,0.43
Beijing,soybean,2006,2.68
Beijing,wheat,2006,30.01
Chongqing,maize,2006,200.5
Chongqing,rice,2006,344.9
Chongqing,soybean,2006,29.24
Chongqing,wheat,2006,47.6
Fujian,maize,2006,11.1
Fujian,rice,2006,499.0
Fujian,soybean,2006,15.22
Fujian,wheat,2006,1.6
Gansu,maize,2006,218.6
Gansu,rice,2006,4.02
Gansu,soybean,2006,39.46
Gansu,wheat,2006,260.7
Guangdong,maize,2006,53.67
Guangdong,rice,2006,1015.9
Guangdong,soybean,2006,19.36
Guangdong,wheat,2006,0.3
Guangxi,maize,2006,198.5
Guangxi,rice,2006,1150.13
Guangxi,soybean,2006,22.28
Guangxi,wheat,2006,0.61
Guizhou,maize,2006,336.71
Guizhou,rice,2006,424.15
Guizhou,soybean,2006,33.96
Guizhou,wheat,2006,45.13
Hainan,maize,2006,6.1
Hainan,rice,2006,134.2
Hainan,soybean,2006,0.4
Hainan,wheat,2006,0.0
Hebei,maize,2006,1348.8
Hebei,rice,2006,51.2
Hebei,soybean,2006,46.88
Hebei,wheat,2006,1189.7
Heilongjiang,maize,2006,1517.0
Heilongjiang,rice,2006,1360.0
Heilongjiang,soybean,2006,689.26
Heilongjiang,wheat,2006,93.0
Henan,maize,2006,1541.8
Henan,rice,2006,404.6
Henan,soybean,2006,76.43
Henan,wheat,2006,2936.5
Hubei,maize,2006,203.8
Hubei,rice,2006,1437.9
Hubei,soybean,2006,47.11
Hubei,wheat,2006,311.1
Hunan,maize,2006,100.2
Hunan,rice,2006,2414.5
Hunan,soybean,2006,30.8
Hunan,wheat,2006,2.9
Inner_Mongolia,maize,2006,1130.0
Inner_Mongolia,rice,2006,51.8
Inner_Mongolia,soybean,2006,168.94
Inner_Mongolia,wheat,2006,172.2
Jiangsu,maize,2006,196.97
Jiangsu,rice,2006,1778.02
Jiangsu,soybean,2006,83.04
Jiangsu,wheat,2006,901.62
Jiangxi,maize,2006,6.09
Jiangxi,rice,2006,1808.8
Jiangxi,soybean,2006,25.88
Jiangxi,wheat,2006,2.04
Jilin,maize,2006,2037.1
Jilin,rice,2006,487.3
Jilin,soybean,2006,105.0
Jilin,wheat,2006,0.3
Liaoning,maize,2006,1211.51
Liaoning,rice,2006,426.6
Liaoning,soybean,2006,40.14
Liaoning,wheat,2006,3.1
Ningxia,maize,2006,127.1
Ningxia,rice,2006,76.6
Ningxia,soybean,2006,2.24
Ningxia,wheat,2006,83.3
Qinghai,maize,2006,1.4
Qinghai,rice,2006,0.0
Qinghai,soybean,2006,10.2
Qinghai,wheat,2006,59.4
Shaanxi,maize,2006,456.13
Shaanxi,rice,2006,71.2
Shaanxi,soybean,2006,40.81
Shaanxi,wheat,2006,390.09
Shandong,maize,2006,1749.32
Shandong,rice,2006,104.96
Shandong,soybean,2006,46.07
Shandong,wheat,2006,2012.96
Shanghai,maize,2006,2.68
Shanghai,rice,2006,89.7
Shanghai,soybean,2006,3.1
Shanghai,wheat,2006,11.34
Shanxi,maize,2006,666.0
Shanxi,rice,2006,0.7
Shanxi,soybean,2006,39.68
