i,c,t,s,k,exposure
Beijing,rice,2020,historical,drought,1.3594116506434915
Beijing,rice,2020,historical,heat,0.4168667824882198
Beijing,rice,2021,historical,compound,-0.8213095396254028
Beijing,rice,2021,historical,drought,-1.3938971747987177
Beijing,rice,2021,historical,heat,-0.2607521731754621
Beijing,rice,2022,historical,compound,0.24514715143769017
Beijing,rice,2022,historical,drought,1.3155107759680635
Beijing,rice,2022,historical,heat,0.4843366007795675
Beijing,soybean,1997,historical,compound,-0.41998017259385206
Beijing,soybean,1997,historical,drought,0.04922292414304833
Beijing,soybean,1997,historical,heat,-0.4485904442625202
Beijing,soybean,1998,historical,compound,-1.0776801902738495
Beijing,soybean,1998,historical,drought,-2.2507835947209682
Beijing,soybean,1998,historical,heat,-0.8954885757266166
Beijing,soybean,1999,historical,compound,-0.23602837677297928
Beijing,soybean,1999,historical,drought,-0.03933141529989256
Beijing,soybean,1999,historical,heat,0.1528933668694258
Beijing,soybean,2000,historical,compound,0.46123087121997625
Beijing,soybean,2000,historical,drought,0.25844131212894544
Beijing,soybean,2000,historical,heat,0.46180679433791805
Beijing,soybean,2001,historical,compound,0.32493277025331624
Beijing,soybean,2001,historical,drought,0.8116357710552373
Beijing,soybean,2001,historical,heat,0.29510121989914534
Beijing,soybean,2002,historical,compound,-0.14523731724009573
Beijing,soybean,2002,historical,drought,0.7530367878753839
Beijing,soybean,2002,historical,heat,-0.19322708817517711
Beijing,soybean,2003,historical,compound,-0.3815149462203773
Beijing,soybean,2003,historical,drought,-1.3215103889979491
Beijing,soybean,2003,historical,heat,-0.7756339552554724
Beijing,soybean,2004,historical,compound,-0.7230043631949538
Beijing,soybean,2004,historical,drought,0.049627942411861005
Beijing,soybean,2004,historical,heat,-0.9131780636840648
Beijing,soybean,2005,historical,compound,-0.37242505903373163
Beijing,soybean,2005,historical,drought,0.38651080309086455
Beijing,soybean,2005,historical,heat,-0.43635214666557803
Beijing,soybean,2006,historical,compound,-0.14981087425119952
Beijing,soybean,2006,historical,drought,-0.07305292625200499
Beijing,soybean,2006,historical,heat,-0.5634526531875915
Beijing,soybean,2007,historical,compound,0.8548489587657769
Beijing,soybean,2007,historical,drought,0.5108718994161242
Beijing,soybean,2007,historical,heat,0.364083654921649
Beijing,soybean,2008,historical,compound,-1.043591358323294
Beijing,soybean,2008,historical,drought,-1.3895389744852007
Beijing,soybean,2008,historical,heat,-0.6655289521270366
Beijing,soybean,2009,historical,compound,0.3375022105115825
Beijing,soybean,2009,historical,drought,1.7579788093050546
Beijing,soybean,2009,historical,heat,-0.19525888280795242
Beijing,soybean,2010,historical,compound,0.397009794483916
Beijing,soybean,2010,historical,drought,-0.5524130552500673
Beijing,soybean,2010,historical,heat,0.29015981478009223
Beijing,soybean,2011,historical,compound,-0.4070322795362478
Beijing,soybean,2011,historical,drought,0.09765367589171407
Beijing,soybean,2011,historical,heat,-0.7829313088820936
Beijing,soybean,2012,historical,compound,-0.26144712879475723
Beijing,soybean,2012,historical,drought,-0.21297858221836208
Beijing,soybean,2012,historical,heat,-0.7032772396980849
Beijing,soybean,2013,historical,compound,-0.30400887808590543
Beijing,soybean,2013,historical,drought,-0.6062988409770702
Beijing,soybean,2013,historical,heat,-0.5980637775433576
Beijing,soybean,2014,historical,compound,0.29022696845670765
Beijing,soybean,2014,historical,drought,0.4571135006365013
